"","block_number","street1","street2"
"380",NA,"SHATTUCK AVENUE","KITTREDGE ST"
"381","1300","UNIVERSITY AVE",NA
"382","3100","COLLEGE AVE",NA
"383","1700","ROSE ST",NA
"384",NA,"ACTON STREET","RUSSELL ST"
"385","1500","ALLSTON WAY",NA
"386","2700","TELEGRAPH AVE",NA
"387","2100","SACRAMENTO ST",NA
"388","1700","SAN LORENZO AVE",NA
"389","1100","CEDAR ST",NA
"390","2200","SHATTUCK AVE",NA
"391","2900","DWIGHT WAY",NA
"392","1100","SUTTER ST",NA
"393","1600","DERBY ST",NA
"394","2000","EIGHTH ST",NA
"395","2200","EIGHTH ST",NA
"396",NA,"ADELINE STREET","ALCATRAZ AVE"
"397","2500","BENVENUE AVE",NA
"398","2300","FOURTH ST",NA
"399","2800","TELEGRAPH AVE",NA
"400","1734","MARTIN LUTHER KING JR WAY",NA
"401","2500","SACRAMENTO ST",NA
"402","1400","SIXTH ST",NA
"403","2900","DERBY ST",NA
"404",NA,"SHATTUCK AVENUE","BANCROFT WAY"
"405","1900","SHATTUCK AVE",NA
"406","2800","TELEGRAPH AVE",NA
"407","2000","OREGON ST",NA
"408","2100","HASTE ST",NA
"409","400","GILMAN ST",NA
"410","2000","CENTER ST",NA
"411",NA,"FIFTH STREET","HARRISON ST"
"412","2000","ADDISON ST",NA
"413","1720","EIGHTH ST",NA
"414","2200","BONAR ST",NA
"415","1600","SOLANO AVE",NA
"416","100","SPINNAKER WAY",NA
"417","2200","CEDAR ST",NA
"418","3200","SACRAMENTO ST",NA
"419","2500","DWIGHT WAY",NA
"420",NA,"BANCROFT WAY","TELEGRAPH AVE"
"421","900","UNIVERSITY AVE",NA
"422","2700","MATHEWS ST",NA
"423","2100","OXFORD ST",NA
"424","3300","ADELINE ST",NA
"425","2000","FOURTH ST",NA
"426",NA,"SHATTUCK AVENUE","ADDISON ST"
"427","2400","COLLEGE AVE",NA
"428","100","SEAWALL DR",NA
"429","2000","UNIVERSITY AVE",NA
"430","2400","PIEDMONT CIR",NA
"431","3100","SHATTUCK AVE",NA
"432","1800","UNIVERSITY AVE",NA
"433",NA,"SAN PABLO AVENUE","ASHBY AVE"
"434","2100","SHATTUCK AVE",NA
"435",NA,"HEARST AVENUE","SPRUCE ST"
"436","2600","TENTH ST",NA
"437","1400","UNIVERSITY AVE",NA
"438","500","ARLINGTON AVE",NA
"439","2700","WOOLSEY ST",NA
"440","2500","HASTE ST",NA
"441","3100","KING ST",NA
"442","100","SEAWALL DR",NA
"443",NA,"ALLSTON WAY","FOURTH ST"
"444","2900","SAN PABLO AVE",NA
"445","1800","FOURTH ST",NA
"446",NA,"SHATTUCK AVENUE","DELAWARE ST"
"447","2500","FULTON ST",NA
"448","1601","ALCATRAZ ST",NA
"449","1900","SAN PABLO AVE",NA
"450","1900","SHATTUCK AVE",NA
"451","2700","ELLSWORTH ST",NA
"452","2800","FOREST AVE",NA
"453","2300","COLLEGE AVE",NA
"454",NA,"VIRGINIA STREET","FOURTH ST"
"455",NA,"ALLSTON WAY","MILVIA ST"
"456","1800","HEARST AVE",NA
"457","1600","JOSEPHINE ST",NA
"458","3000","FULTON ST",NA
"459","2100","CENTER ST",NA
"460","600","UNIVERSITY AVE",NA
"461","2700","CHANNING WAY",NA
"462","1700","BERKELEY WAY",NA
"463",NA,"HEARST AVENUE","CALIFORNIA ST"
"464","2700","PARKER ST",NA
"465","1500","UNIVERSITY AVE",NA
"466",NA,"TELEGRAPH AVENUE","BLAKE ST"
"467",NA,"CARLETON STREET","SHATTUCK AVE"
