"","block_number","street1","street2"
"1422","2400","BANCROFT WAY",NA
"1423","3100","SHATTUCK AVE",NA
"1424","1300","HEARST AVE",NA
"1425","1800","STUART ST",NA
"1426","2900","OTIS ST",NA
"1427","1500","ROSE ST",NA
"1428","2000","KITTREDGE ST",NA
"1429","400","GILMAN ST",NA
"1430","1300","HEARST AVE",NA
"1431","2000","ADDISON ST",NA
"1432","2000","BERKELEY WAY",NA
"1433","2100","SHATTUCK AVE",NA
"1434","2900","HILLEGASS AVE",NA
"1435","1500","NINTH ST",NA
"1436","3100","DEAKIN ST",NA
"1437",NA,"DELAWARE STREET","CURTIS ST"
"1438",NA,"EASTSHORE HIGHWAY","GILMAN ST"
"1439","1600","BLAKE ST",NA
"1440","1300","ROSE ST",NA
"1441","1300","SIXTH ST",NA
"1442","2100","SHATTUCK AVE",NA
"1443","1600","CORNELL AVE",NA
"1444","2810","MARTIN LUTHER KING JR WAY",NA
"1445","1300","EUCLID AVE",NA
"1446","2800","ADELINE ST",NA
"1447","1100","HARRISON ST",NA
"1448","2400","BANCROFT WAY",NA
"1449","1100","KEELER AVE",NA
"1450","1900","SAN PABLO AVE",NA
"1451","2400","HILGARD AVE",NA
"1452","2000","BANCROFT WAY",NA
"1453",NA,"DURANT AVENUE","BOWDITCH ST"
"1454","1700","STUART ST",NA
"1455","200","MARINA BLVD",NA
"1456","1800","SHATTUCK AVE",NA
"1457","1400","UNIVERSITY AVE",NA
"1458","2600","REGENT ST",NA
"1459","2000","FOURTH ST",NA
"1460","1500","ALCATRAZ AVE",NA
"1461","2500","DERBY ST",NA
"1462","2200","BROWNING ST",NA
"1463","2300","BLAKE ST",NA
"1464","1553","MARTIN LUTHER KING JR. WAY",NA
"1465",NA,"DWIGHT WAY","ACTON ST"
"1466","1900","FOURTH ST",NA
"1467","1300","STANNAGE AVE",NA
"1468","2700","WALLACE ST",NA
"1469","1000","HEINZ AVE",NA
"1470","3000","COLLEGE AVE",NA
"1471","2800","REGENT ST",NA
"1472",NA,"ADELINE STREET","ALCATRAZ AVE"
"1473","1100","CARLETON ST",NA
"1474","1800","HEARST AVE",NA
"1475","2700","DURANT AVE",NA
"1476","1600","FRANCISCO ST",NA
"1477","1900","FOURTH ST",NA
"1478","1400","OREGON ST",NA
"1479","2500","SHATTUCK AVE",NA
"1480","1500","UNIVERSITY AVE",NA
"1481","2500","BENVENUE AVE",NA
"1482","2400","ELLSWORTH ST",NA
"1483","2500","DANA ST",NA
"1484","1700","UNIVERSITY AVE",NA
"1485","2300","TENTH ST",NA
"1486",NA,"ASHBY AVENUE","ADELINE ST"
"1487","2000","BERKELEY WAY",NA
"1488","2100","CEDAR ST",NA
"1489","1500","CORNELL AVE",NA
"1490","2000","OREGON ST",NA
"1491","2400","FULTON ST",NA
"1492","1400","CAMPUS DR",NA
"1493","700","HEARST AVE",NA
"1494",NA,"KITTREDGE STREET","MILVIA ST"
"1495","2000","SAN PABLO AVE",NA
"1496","1600","ASHBY AVE",NA
"1497","1200","HEARST AVE",NA
"1498","1900","ALLSTON WAY",NA
"1499","400","KENTUCKY AVE",NA
"1500","1511","SHATTUCK AVE",NA
"1501","3000","TELEGRAPH AVE",NA
"1502","1800","ALCATRAZ AVE",NA
"1503","1400","SHATTUCK AVE",NA
"1504","1300","BLAKE ST",NA
"1505",NA,"ALLSTON WAY","HAROLD WAY"
"1506","1800","SOLANO AVE",NA
"1507","2300","SHATTUCK AVE",NA
"1508","1600","WARD ST",NA
"1509","2300","CARLETON ST",NA
"1510","2300","TELEGRAPH AVE",NA
"1511","2100","DWIGHT WAY",NA
"1512","1000","UNIVERSITY AVE",NA
"1513","3200","COLLEGE AVE",NA
"1514","2000","FRANCISCO ST",NA
"1515","1300","TENTH ST",NA
"1516","200","MARINA BLVD",NA
"1517","2800","SEVENTH ST",NA
"1518","1100","KEITH AVE",NA
"1519","1700","SPRUCE ST",NA
"1520","2500","REGENT ST",NA
"1521",NA,"FAIRVIEW STREET","SACRAMENTO ST"
"1522",NA,"PIEDMONT AVENUE","DERBY ST"
"1523",NA,"PARKER STREET","FULTON ST"
"1524","2000","SHATTUCK AVE",NA
"1525","2000","SHATTUCK AVE",NA
"1526","2200","ROSE ST",NA
"1527","1300","SIXTY-SIXTH ST",NA
"1528","1300","NINTH ST",NA
"1529","2300","FOURTH ST",NA
"1530",NA,"HAROLD WAY","KITTREDGE ST"
"1531","2300","PROSPECT ST",NA
"1532","2400","PIEDMONT AVE",NA
"1533",NA,"MILVIA STREET","BERKELEY WAY"
"1534","2000","ADDISON ST",NA
"1535","2500","TELEGRAPH AVE",NA
"1536",NA,"SHATTUCK AVENUE","DURANT AVE"
"1537","700","CRAGMONT AVE",NA
"1538","2200","FULTON ST",NA
"1539","2400","GRANT ST",NA
"1540","1800","SAN PABLO AVE",NA
"1541","1900","UNIVERSITY AVE",NA
"1542","2500","COLLEGE AVE",NA
"1543","2800","ELLSWORTH ST",NA
"1544","2100","STUART ST",NA
"1545","1500","FAIRVIEW ST",NA
"1546","1400","ORDWAY ST",NA
"1547","700","GRAYSON ST",NA
"1548","2300","CALIFORNIA ST",NA
"1549",NA,"TREMONT STREET","WOOLSEY ST"
"1550","600","PAGE ST",NA
"1551","2900","ADELINE ST",NA
"1552","1500","OREGON ST",NA
"1553","1900","HASTE ST",NA
"1554","3200","COLLEGE AVE",NA
"1555","2300","SHATTUCK AVE",NA
"1556","1700","UNIVERSITY AVE",NA
"1557","1500","EASTSHORE HWY",NA
"1558","1200","FIFTH ST",NA
"1559",NA,"DWIGHT WAY","HILLSIDE AVE"
"1560","1000","PARK HILLS RD",NA
"1561","1500","WOOLSEY ST",NA
"1562",NA,"BANCROFT WAY","BOWDITCH ST"
"1563","1400","SIXTY-SIXTH ST",NA
"1564","2500","SHATTUCK AVE",NA
"1565","1115","DELAWARE ST",NA
"1566","2400","ASHBY AVE",NA
"1567","1400","SHATTUCK AVE",NA
"1568","2300","CURTIS ST",NA
"1569","3000","MABEL ST",NA
"1570","1900","WOOLSEY ST",NA
"1571",NA,"CALIFORNIA STREET","ALCATRAZ AVE"
"1572","1800","MARIN AVE",NA
"1573","2600","SAN PABLO AVE",NA
"1574","2300","DERBY ST",NA
"1575","2800","COLLEGE AVE",NA
"1576","1900","VIRGINIA ST",NA
"1577","2600","DANA ST",NA
"1578",NA,"BAY STREET","BOLIVAR DR"
"1579","2300","CURTIS ST",NA
"1580","2300","SHATTUCK AVE",NA
"1581","2200","FIFTH ST",NA
"1582","2600","COLLEGE AVE",NA
"1583",NA,"SHATTUCK AVENUE","KITTREDGE ST"
"1584","1800","ALCATRAZ AVE",NA
"1585","900","HEINZ AVE",NA
"1586","2400","FIFTH ST",NA
"1587","2300","MCGEE AVE",NA
"1588","1200","KAINS AVE",NA
"1589","1900","EL DORADO AVE",NA
"1590","2000","OREGON ST",NA
"1591","1800","TACOMA AVE",NA
"1592","2400","DURANT AVE",NA
"1593",NA,"UNIVERSITY AVENUE","MCGEE AVE"
"1594","1900","CHANNING WAY",NA
"1595","600","HARRISON ST",NA
"1596","2400","HILLSIDE AVE",NA
"1597",NA,"TELEGRAPH AVENUE","CHANNING WAY"
"1598","1100","KAINS AVE",NA
"1599","1600","JOSEPHINE ST",NA
"1600","2600","ACTON ST",NA
"1601","600","CRAGMONT AVE",NA
"1602","2300","FOURTH ST",NA
"1603","1600","PRINCE ST",NA
"1604","1100","SAN PABLO AVE",NA
"1605","700","GILMAN ST",NA
"1606","1686","OXFORD ST",NA
"1607","2000","OREGON ST",NA
"1608","900","CHANNING WAY",NA
"1609",NA,"BANCROFT WAY","FOURTH ST"
"1610","1900","BERKELEY WAY",NA
"1611","1600","JULIA ST",NA
"1612","2000","ALLSTON WAY",NA
"1613","2100","PARKER ST",NA
"1614","1400","SHATTUCK AVE",NA
"1615","900","HEINZ AVE",NA
"1616","1900","SAN PABLO AVE",NA
"1617","2200","SHATTUCK AVE",NA
"1618","2400","HILGARD AVE",NA
"1619","2000","ASHBY AVE",NA
"1620","2300","TELEGRAPH AVE",NA
"1621",NA,"VIRGINIA STREET","SECOND ST"
"1622","2100","WOOLSEY ST",NA
"1623","2400","VALLEY ST",NA
"1624","2300","SHATTUCK AVE",NA
"1625","2000","SAN PABLO AVE",NA
"1626","1400","SUMMIT RD",NA
"1627","1500","OXFORD ST",NA
"1628","2300","ELLSWORTH ST",NA
"1629","1500","HARMON ST",NA
"1630","1000","UNIVERSITY AVE",NA
"1631","1700","CAPISTRANO AVE",NA
"1632","1900","HEARST AVE",NA
"1633",NA,"ADDISON STREET","NINTH ST"
"1634","2600","SAN PABLO AVE",NA
"1635","900","HEINZ AVE",NA
"1636","1000","GILMAN ST",NA
"1637","3300","ADELINE ST",NA
"1638","1800","PRINCE ST",NA
"1639","2400","COLLEGE AVE",NA
"1640","2800","SHATTUCK AVE",NA
"1641",NA,"SECOND STREET","VIRGINIA ST"
"1642",NA,"PARKER STREET","BENVENUE AVE"
"1643","3200","ADELINE ST",NA
"1644","2500","REGENT ST",NA
"1645","600","CEDAR ST",NA
"1646","2450","DURANT AVE",NA
"1647","1000","GILMAN ST",NA
"1648","2500","SAN PABLO AVE",NA
"1649","1300","SIXTH ST",NA
"1650","1300","NINTH ST",NA
"1651","2300","GRANT ST",NA
"1652","2300","TELEGRAPH AVE",NA
"1653",NA,"BANCROFT WAY","COLLEGE AVE"
"1654","2000","OREGON ST",NA
"1655","100","HILLCREST RD",NA
"1656","1100","PARKER ST",NA
"1657","1600","TENTH ST",NA
"1658","2200","SHATTUCK AVE",NA
"1659","2400","ELLSWORTH ST",NA
"1660","2900","ACTON ST",NA
"1661","1600","SHORT ST",NA
"1662","2400","DURANT AVE",NA
"1663","2300","TELEGRAPH AVE",NA
"1664","900","UNIVERSITY AVE",NA
"1665","1300","NINTH ST",NA
"1666","2000","UNIVERSITY AVE",NA
"1667","1149","EUCLID AVE",NA
"1668","700","CHANNING WAY",NA
"1669","1500","GRANT ST",NA
"1670","2000","ASHBY AVE",NA
"1671","2200","SHATTUCK AVE",NA
"1672","600","CEDAR ST",NA
"1673","1700","SHATTUCK AVE",NA
"1674",NA,"ASHBY AVENUE","NINTH ST"
"1675","1600","BERKELEY WAY",NA
"1676",NA,"CALIFORNIA STREET","ALLSTON WAY"
"1677",NA,"DWIGHT WAY","DANA ST"
"1678",NA,"POTTER STREET","BAY ST"
"1679","1700","WALNUT ST",NA
"1680","3300","CALIFORNIA ST",NA
"1681","1600","SHATTUCK AVE",NA
"1682","800","POTTER ST",NA
"1683",NA,"JULIA STREET","KING ST"
"1684","1600","OREGON ST",NA
"1685","1900","UNIVERSITY AVE",NA
"1686","1500","GRIZZLY PEAK BLVD",NA
"1687","1900","RUSSELL ST",NA
"1688",NA,"SHATTUCK AVENUE","BERKELEY WAY"
"1689","1600","SHATTUCK AVE",NA
"1690","2300","COLLEGE AVE",NA
"1691","1900","MILVIA ST",NA
"1692","2400","ASHBY AVE",NA
"1693","500","BOYNTON AVE",NA
"1694","1300","SAN PABLO AVE",NA
"1695","3300","KING ST",NA
"1696","2400","WEBSTER ST",NA
"1697","2200","EIGHTH ST",NA
"1698","1700","UNIVERSITY AVE",NA
"1699",NA,"FIFTH STREET","UNIVERSITY AVE"
"1700","2200","SHATTUCK AVE",NA
"1701","1500","BERKELEY WAY",NA
"1702","2000","OREGON ST",NA
"1703","3100","SHATTUCK AVE",NA
"1704","2300","SHATTUCK AVE",NA
"1705","1300","FIFTH ST",NA
"1706","1800","CAPISTRANO AVE",NA
"1707","2700","SHATTUCK AVE",NA
"1708","1400","PARKER ST",NA
"1709",NA,"BERKELEY WAY","WALNUT ST"
"1710","1100","FRANCISCO ST",NA
"1711","1300","CHANNING WAY",NA
"1712",NA,"SACRAMENTO STREET","RUSSELL ST"
"1713",NA,"POTTER STREET","SEVENTH ST"
"1714","800","CONTRA COSTA AVE",NA
"1715",NA,"FOURTH STREET","HEARST AVE"
"1716",NA,"RUSSELL STREET","HARPER ST"
"1717","1600","POSEN AVE",NA
"1718","1100","GRIZZLY PEAK BLVD",NA
"1719","2600","STUART ST",NA
"1720",NA,"WOOLSEY STREET","ADELINE ST"
"1721","1600","ALCATRAZ AVE",NA
"1722","1300","SANTA FE AVE",NA
"1723","100","HILLCREST RD",NA
"1724","2200","SHATTUCK AVE",NA
"1725","2700","DANA ST",NA
"1726","2100","PARKER ST",NA
"1727",NA,"SAN PABLO AVENUE","ASHBY AVE"
"1728",NA,"VIRGINIA STREET","SAN PABLO AVE"
"1729","2200","PARKER ST",NA
"1730",NA,"HEARST AVENUE","EUCLID AVE"
"1731","400","GILMAN ST",NA
"1732","2400","RUSSELL ST",NA
"1733","2000","OREGON ST",NA
"1734","1200","TENTH ST",NA
"1735","2300","MCGEE AVE",NA
"1736","2000","DURANT AVE",NA
"1737","400","VINCENTE AVE",NA
"1738","1300","HEARST AVE",NA
"1739","3100","ADELINE ST",NA
"1740","2400","TELEGRAPH AVE",NA
"1741","2300","PARKER ST",NA
"1742","2600","ELLSWORTH ST",NA
"1743","1800","UNIVERSITY AVE",NA
"1744","2100","SHATTUCK AVE",NA
"1745",NA,"BANCROFT WAY","DANA ST"
"1746","2100","BANCROFT WAY",NA
"1747","1000","CHANNING WAY",NA
"1748","2000","ALLSTON WAY",NA
"1749",NA,"UNIVERSITY AVENUE","TENTH ST"
"1750","1300","SAN PABLO AVE",NA
"1751","1900","SHATTUCK AVE",NA
"1752",NA,"RUSSELL STREET","PARK ST"
"1753","1800","SAN JUAN AVE",NA
"1754","1900","CHANNING WAY",NA
"1755",NA,"ASHBY AVENUE","OTIS ST"
"1756","2700","SHATTUCK AVE",NA
"1757","1600","UNIVERSITY AVE",NA
"1758","2200","MCGEE AVE",NA
"1759","2800","ADELINE ST",NA
"1760","2300","TELEGRAPH AVE",NA
"1761","1200","BONITA AVE",NA
"1762","3200","SACRAMENTO ST",NA
"1763",NA,"PARKER STREET","SEVENTH ST"
"1764","1900","DWIGHT WAY",NA
"1765","700","BANCROFT WAY",NA
"1766","2500","HASTE ST",NA
"1767","2100","OXFORD ST",NA
"1768",NA,"LA LOMA AVENUE","VIRGINIA ST"
"1769","3000","COLBY ST",NA
"1770","2300","BANCROFT WAY",NA
"1771",NA,"WARRING STREET","CHANNING WAY"
"1772",NA,"SIXTH STREET","HEARST AVE"
"1773","1300","EUCLID AVE",NA
"1774","2100","ALLSTON WAY",NA
"1775","2400","DANA ST",NA
"1776",NA,"MILVIA STREET","ADDISON ST"
"1777","2100","SHATTUCK AVE",NA
"1778","1550","SHATTUCK AVE",NA
"1779","2800","MILVIA ST",NA
"1780","1600","PARKER ST",NA
"1781","2400","PIEDMONT AVE",NA
"1782","1600","KAINS AVE",NA
"1783","1800","ALCATRAZ AVE",NA
"1784","2600","PARKER ST",NA
"1785","1900","SHATTUCK AVE",NA
"1786",NA,"BANCROFT WAY","SHATTUCK AVE"
"1787","100","UNIVERSITY AVE",NA
"1788","2300","SHATTUCK AVE",NA
"1789","2400","DURANT AVE",NA
"1790","1700","HOPKINS ST",NA
"1791","2000","SHATTUCK AVE",NA
"1792","2434","HILLSIDE AVE",NA
"1793","2100","KITTREDGE ST",NA
"1794","2500","COLLEGE AVE",NA
"1795","2200","MILVIA ST",NA
"1796","1900","RUSSELL ST",NA
"1797","700","HARRISON ST",NA
"1798",NA,"SACRAMENTO STREET","ASHBY AVE"
"1799","2100","ACTON ST",NA
"1800","2900","DOHR ST",NA
"1801","2600","ELLSWORTH ST",NA
"1802","2100","MILVIA ST",NA
"1803","1300","UNIVERSITY AVE",NA
"1804","2700","SAN PABLO AVE",NA
"1805","900","DELAWARE ST",NA
"1806","2700","GARBER ST",NA
"1807","2300","COLLEGE AVE",NA
"1808","1100","GRIZZLY PEAK BLVD",NA
"1809","1000","MILLER AVE",NA
"1810","3100","COLLEGE AVE",NA
"1811","600","CEDAR ST",NA
"1812",NA,"SHATTUCK AVENUE","ALLSTON WAY"
"1813","3200","ADELINE ST",NA
"1814","1700","EIGHTH ST",NA
"1815","2300","WARRING ST",NA
"1816","1600","CORNELL AVE",NA
"1817","1700","UNIVERSITY AVE",NA
"1818","205","UNIVERSITY AVE",NA
"1819","2300","PIEDMONT AVE",NA
"1820","1800","FOURTH ST",NA
"1821",NA,"HEARST AVENUE","SACRAMENTO ST"
"1822","2900","COLLEGE AVE",NA
"1823","2400","DURANT AVE",NA
"1824","2600","TELEGRAPH AVE",NA
"1825","2000","UNIVERSITY AVE",NA
"1826","2100","HASTE ST",NA
"1827","2600","GRANT ST",NA
"1828","1400","JOSEPHINE ST",NA
"1829","2500","BENVENUE AVE",NA
"1830","2000","OREGON ST",NA
"1831","700","ASHBY AVE",NA
"1832",NA,"BANCROFT WAY","DANA ST"
"1833","3100","COLLEGE AVE",NA
"1834","2000","CHANNING WAY",NA
"1835","1900","ALLSTON WAY",NA
"1836","2400","ASHBY AVE",NA
"1837","2400","DURANT AVE",NA
"1838","1000","HARRISON ST",NA
"1839","2000","ADDISON ST",NA
"1840","1300","FOURTH ST",NA
"1841","2500","TELEGRAPH AVE",NA
"1842","1600","MILVIA ST",NA
"1843",NA,"VIRGINIA STREET","SAN PABLO AVE"
"1844",NA,"NINTH STREET","HEINZ AVE"
"1845",NA,"KITTREDGE STREET","SHATTUCK AVE"
"1846","1400","SHATTUCK AVE",NA
"1847","1600","UNIVERSITY AVE",NA
"1848","1500","SHATTUCK AVE",NA
"1849","900","CRESTON RD",NA
"1850","1700","SHATTUCK AVE",NA
"1851",NA,"ADELINE STREET","OREGON ST"
"1852",NA,"BOWDITCH STREET","DURANT AVE"
"1853","600","ADDISON ST",NA
"1854","1900","ALCATRAZ AVE",NA
"1855","1800","SPRUCE ST",NA
"1856","1300","CARRISON ST",NA
"1857","1200","ASHBY AVE",NA
"1858","2500","REGENT ST",NA
"1859","1100","VIRGINIA ST",NA
"1860","2300","FOURTH ST",NA
"1861","2600","SACRAMENTO ST",NA
"1862","2700","DURANT AVE",NA
"1863","200","MARINA BLVD",NA
"1864","900","EUCLID AVE",NA
"1865","1400","SHATTUCK AVE",NA
"1866","2100","GRANT ST",NA
"1867",NA,"REGENT STREET","PARKER ST"
"1868",NA,"UNIVERSITY AVENUE","MILVIA ST"
"1869","2200","OXFORD ST",NA
"1870","1900","SHATTUCK AVE",NA
"1871","2200","SHATTUCK AVE",NA
"1872",NA,"TENTH STREET","GILMAN ST"
"1873","2000","KITTREDGE ST",NA
"1874","1800","FOURTH ST",NA
"1875",NA,"ASHBY AVENUE","ELLIS ST"
"1876","2000","UNIVERSITY AVE",NA
"1877","2400","FIFTH ST",NA
"1878","2000","STUART ST",NA
"1879","2200","SHATTUCK AVE",NA
"1880","1500","SAN LORENZO AVE",NA
"1881","1500","ACTON ST",NA
"1882",NA,"ASHBY AVENUE","HARPER ST"
"1883","2100","WARD ST",NA
"1884","1300","FOURTH ST",NA
"1885","2200","SHATTUCK AVE",NA
"1886",NA,"TELEGRAPH AVENUE","HASTE ST"
"1887","1300","NEILSON ST",NA
"1888","3126","MARTIN LUTHER KING JR WAY",NA
"1889","2300","DERBY ST",NA
"1890","900","SANTA BARBARA RD",NA
"1891","200","UNIVERSITY AVE",NA
"1892","3200","ADELINE ST",NA
"1893",NA,"FIFTH STREET","HEARST AVE"
"1894","1900","VIRGINIA ST",NA
"1895","2000","OREGON ST",NA
"1896","2000","ASHBY AVE",NA
"1897","1900","OREGON ST",NA
"1898","1300","BANCROFT WAY",NA
"1899","1900","ALLSTON WAY",NA
"1900","2800","OAK KNOLL TER",NA
"1901","2400","WEBSTER ST",NA
"1902","1300","ASHBY AVE",NA
"1903","1700","FRANCISCO ST",NA
"1904","1000","HEINZ AVE",NA
"1905","400","GILMAN ST",NA
"1906","1200","FIFTH ST",NA
"1907","900","PAGE ST",NA
"1908","1900","CARLETON ST",NA
"1909","2600","DURANT AVE",NA
"1910","2300","CURTIS ST",NA
"1911","2100","ASHBY AVE",NA
"1912","2000","EIGHTH ST",NA
"1913","2000","DELAWARE ST",NA
"1914","1200","PARKER ST",NA
"1915","1300","DELAWARE ST",NA
"1916","2300","ELLSWORTH ST",NA
"1917","1900","EL DORADO AVE",NA
"1918","900","HEINZ AVE",NA
"1919","2700","PIEDMONT AVE",NA
"1920","1700","SPRUCE ST",NA
"1921","1900","ROSE ST",NA
"1922","1600","JULIA ST",NA
"1923","2400","WARRING ST",NA
"1924","1500","BERKELEY WAY",NA
"1925","2400","SHATTUCK AVE",NA
"1926","800","OXFORD ST",NA
"1927","5","SPINNAKER WAY",NA
"1928","2400","RIDGE RD",NA
"1929","2100","WOOLSEY ST",NA
"1930","2000","ALLSTON WAY",NA
"1931","1300","ADA ST",NA
"1932",NA,"UNIVERSITY AVENUE","W FRONTAGE RD"
"1933","1400","FOURTH ST",NA
"1934",NA,"ADELINE STREET","ALCATRAZ AVE"
"1935","2100","SHATTUCK AVE",NA
"1936","2600","SAN PABLO AVE",NA
"1937",NA,"NINTH STREET","ALLSTON WAY"
"1938","1200","UNIVERSITY AVE",NA
"1939","100","SEAWALL DR",NA
"1940","2300","SHATTUCK AVE",NA
"1941","3000","TELEGRAPH AVE",NA
"1942","2600","SHASTA RD",NA
"1943","1700","LINCOLN ST",NA
"1944","1200","SAN PABLO AVE",NA
"1945","1700","SIXTH ST",NA
"1946","1200","NEILSON ST",NA
"1947",NA,"HEARST AVENUE","MILVIA ST"
"1948","2200","CHANNING WAY",NA
"1949","1200","OXFORD ST",NA
"1950",NA,"ASHBY AVENUE","ADELINE ST"
"1951","2400","SHATTUCK AVE",NA
"1952","2700","ASHBY AVE",NA
"1953","1300","PERALTA AVE",NA
"1954","2900","SHASTA RD",NA
"1955","2400","HEARST AVE",NA
"1956",NA,"OXFORD STREET","BERKELEY WAY"
"1957","2300","BLAKE ST",NA
"1958","2400","WEST ST",NA
"1959","1900","OREGON ST",NA
"1960","1500","TYLER ST",NA
"1961","800","PAGE ST",NA
"1962","1900","DWIGHT WAY",NA
"1963","3000","DOHR ST",NA
"1964","2000","DELAWARE ST",NA
"1965","2500","WOOLSEY ST",NA
"1966","1600","RUSSELL ST",NA
"1967","2100","ALLSTON WAY",NA
"1968","1300","UNIVERSITY AVE",NA
"1969","2400","SHATTUCK AVE",NA
"1970","1800","SACRAMENTO ST",NA
"1971","1400","KEONCREST DR",NA
"1972","2450","DURANT AVE",NA
"1973","2100","BANCROFT WAY",NA
"1974","2900","HILLEGASS AVE",NA
"1975","3000","ASHBY AVE",NA
"1976","1700","WALNUT ST",NA
"1977","2400","ELLSWORTH ST",NA
"1978","1900","SHATTUCK AVE",NA
"1979","1800","FAIRVIEW ST",NA
"1980","1500","ACTON ST",NA
"1981","2000","ALLSTON WAY",NA
"1982","1400","SHATTUCK AVE",NA
"1983","3200","TELEGRAPH AVE",NA
"1984","3000","DOHR ST",NA
"1985","900","ARLINGTON AVE",NA
"1986","2500","DWIGHT WAY",NA
"1987","1900","FOURTH ST",NA
"1988","1800","SAN LORENZO AVE",NA
"1989",NA,"CHANNING WAY","GRANT ST"
"1990",NA,"MILVIA STREET","DURANT AVE"
"1991","2900","CALIFORNIA ST",NA
"1992",NA,"BANCROFT WAY","DANA ST"
"1993","1600","ALCATRAZ AVE",NA
"1994","1600","OXFORD ST",NA
"1995","2300","LE CONTE AVE",NA
"1996","2300","HASTE ST",NA
"1997","2100","WOOLSEY ST",NA
"1998","1000","ALLSTON WAY",NA
"1999",NA,"HEARST AVENUE","MCGEE AVE"
"2000","1500","UNIVERSITY AVE",NA
"2001","2300","STUART ST",NA
"2002",NA,"SAN PABLO AVENUE","GILMAN ST"
"2003","600","CEDAR ST",NA
"2004","2711","MCGEE ST",NA
"2005","1900","YOSEMITE RD",NA
"2006","1300","SHATTUCK AVE",NA
"2007",NA,"HASTE STREET","SHATTUCK AVE"
"2008","3000","STANTON ST",NA
"2009",NA,"UNIVERSITY AVENUE","SIXTH ST"
"2010","2900","ELLIS ST",NA
"2011","2000","CENTER ST",NA
"2012",NA,"ALLSTON WAY","SHATTUCK AVE"
"2013",NA,"SHATTUCK AVENUE","CENTER ST"
"2014","2400","DURANT AVE",NA
"2015","2200","DERBY ST",NA
"2016",NA,"SEVENTH STREET","ANTHONY ST"
"2017",NA,"SECOND STREET","GILMAN ST"
"2018","1300","ROSE ST",NA
"2019","1500","RUSSELL ST",NA
"2020","1200","UNIVERSITY AVE",NA
"2021",NA,"FOURTH STREET","HEARST AVE"
"2022","1000","FRESNO AVE",NA
"2023","1700","LA LOMA AVE",NA
"2024","2222","PROSPECT ST",NA
"2025","1400","JOSEPHINE ST",NA
"2026","2000","VIRGINIA ST",NA
"2027","1995","UNIVERSITY AVE",NA
"2028","2500","RIDGE RD",NA
"2029","1200","SIXTH ST",NA
"2030","200","MARINA BLVD",NA
"2031","200","UNIVERSITY AVE",NA
"2032",NA,"BERKELEY WAY","WEST ST"
"2033",NA,"TELEGRAPH AVENUE","DERBY ST"
"2034","100","BERKELEY SQ",NA
"2035",NA,"BANCROFT WAY","WARRING ST"
"2036","1700","FOURTH ST",NA
"2037","2700","SHASTA RD",NA
"2038",NA,"BOWDITCH STREET","HASTE ST"
"2039","2000","ADDISON ST",NA
"2040","1900","VINE ST",NA
"2041","1000","GILMAN ST",NA
"2042","2100","SHATTUCK AVE",NA
"2043",NA,"CEDAR STREET","STANNAGE AVE"
"2044","200","UNIVERSITY AVE",NA
"2045","3100","LEWISTON AVE",NA
"2046","1600","ASHBY AVE",NA
"2047","1700","VINE ST",NA
"2048","1900","GRANT ST",NA
"2049","2300","DURANT AVE",NA
"2050","1000","ASHBY AVE",NA
"2051","1200","FIFTH ST",NA
"2052","1500","BERKELEY WAY",NA
"2053","2400","FULTON ST",NA
"2054","1800","FOURTH ST",NA
"2055","1000","HEINZ AVE",NA
"2056","2810","MARTIN LUTHER KING JR WAY",NA
"2057","3400","ADELINE ST",NA
"2058","1700","SAN PABLO AVE",NA
"2059",NA,"",NA
"2060","3000","SHATTUCK AVE",NA
"2061","1000","FOLGER AVE",NA
"2062","2300","TELEGRAPH AVE",NA
"2063","1400","SEVENTH ST",NA
"2064","2200","STUART ST",NA
"2065","2300","SHATTUCK AVE",NA
"2066","2100","ALLSTON WAY",NA
"2067","800","UNIVERSITY AVE",NA
"2068","2300","ELLSWORTH ST",NA
"2069","2100","CARLETON ST",NA
"2070","2300","TELEGRAPH AVE",NA
"2071",NA,"SECOND STREET","PAGE ST"
"2072","2100","SHATTUCK AVE",NA
"2073","700","ADDISON ST",NA
"2074","2100","CARLETON ST",NA
"2075","2300","FOURTH ST",NA
"2076","1600","WALNUT ST",NA
"2077","2100","CENTER ST",NA
"2078","700","UNIVERSITY AVE",NA
"2079","1700","FOURTH ST",NA
"2080","2300","FOURTH ST",NA
"2081","1800","UNIVERSITY AVE",NA
"2082","2200","DWIGHT WAY",NA
"2083",NA,"REGENT STREET","PARKER ST"
"2084","2134","MARTIN LUTHER KING JR WAY",NA
"2085",NA,"WALNUT STREET","HEARST AVE"
"2086",NA,"DELAWARE STREET","EIGHTH ST"
"2087","2000","OREGON ST",NA
"2088","800","CAMELIA ST",NA
"2089","2200","CHANNING WAY",NA
"2090","800","UNIVERSITY AVE",NA
"2091","2100","SHATTUCK AVE",NA
"2092","200","MARINA BLVD",NA
"2093","700","ALLSTON WAY",NA
"2094","2100","MILVIA ST",NA
"2095","2200","SHATTUCK AVE",NA
"2096","2500","DURANT AVE",NA
"2097","2800","RUSSELL ST",NA
"2098","1400","SHATTUCK AVE",NA
"2099","2300","EUNICE ST",NA
"2100","2100","UNIVERSITY AVE",NA
"2101","3200","SACRAMENTO ST",NA
"2102",NA,"SAN PABLO AVENUE","GILMAN ST"
"2103","1600","CARLETON ST",NA
"2104","2900","SEVENTH ST",NA
