"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"2602",2016-05-11,"Wednesday",13.0833333333333,"DISTURBANCE","1300","DELAWARE ST",NA,37.872525,-122.286625,"weekday","1","W"
"2603",2016-03-22,"Tuesday",9.33333333333333,"THEFT MISD. (UNDER $950)","900","UNIVERSITY AVE",NA,37.868273,-122.295963,"weekday","2","W"
"2604",2016-01-08,"Friday",16.7833333333333,"NARCOTICS",NA,"PARKER STREET","MATHEWS ST",37.85959,-122.28701,"weekday","2","W"
"2605",2016-03-05,"Saturday",14,"THEFT MISD. (UNDER $950)","1400","FIFTH ST",NA,37.877393,-122.301918,"weekend","2","W"
"2606",2015-12-03,"Thursday",0.0666666666666667,"ALCOHOL OFFENSE",NA,"ASHBY AVENUE","SEVENTH ST",37.851017,-122.291088,"weekday","1","S"
"2607",2016-02-09,"Tuesday",15.7666666666667,"BURGLARY AUTO",NA,"EIGHTH STREET","GRAYSON ST",37.855509,-122.291368,"weekday","3","W"
"2608",2016-04-23,"Saturday",20.1166666666667,"DISTURBANCE","2800","EIGHTH ST",NA,37.855509,-122.291368,"weekend","1","W"
"2609",2016-01-02,"Saturday",6.8,"THEFT FROM AUTO","1700","UNIVERSITY AVE",NA,37.870948,-122.27733,"weekend","4","W"
"2610",2016-02-29,"Monday",17.55,"ARSON","1900","ALLSTON WAY",NA,37.868785,-122.272701,"weekday","4","S"
"2611",2016-05-06,"Friday",9,"THEFT FROM AUTO","1500","SHATTUCK AVE",NA,37.880227,-122.26936,"weekday","4","N"
"2612",2016-02-05,"Friday",12,"THEFT MISD. (UNDER $950)","2000","PRINCE ST",NA,37.852871,-122.26799,"weekday","2","S"
"2613",2016-01-24,"Sunday",15.5,"VEHICLE STOLEN","1900","CENTER ST",NA,37.869685,-122.272804,"weekend","4","S"
"2614",2016-03-28,"Monday",11.1166666666667,"ALCOHOL OFFENSE","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","1","E"
"2615",2015-12-17,"Thursday",7.5,"ASSAULT/BATTERY MISD.","1600","SHATTUCK AVE",NA,37.878112,-122.269114,"weekday","4","N"
"2616",2016-04-12,"Tuesday",2.25,"IDENTITY THEFT","1900","OXFORD ST",NA,37.873885,-122.266332,"weekday","1","E"
"2617",2016-01-29,"Friday",0.733333333333333,"ALCOHOL OFFENSE","2600","SAN PABLO AVE",NA,37.85922,-122.289035,"weekday","1","W"
"2618",2015-12-03,"Thursday",20,"VEHICLE STOLEN","2600","TELEGRAPH AVE",NA,37.862927,-122.258784,"weekday","4","E"
"2619",2016-02-14,"Sunday",15.7,"DISTURBANCE","1300","SIXTH ST",NA,37.879335,-122.301332,"weekend","1","W"
"2620",2016-04-02,"Saturday",3.03333333333333,"ALCOHOL OFFENSE",NA,"HILLCREST ROAD","ROANOKE RD",37.852671,-122.242003,"weekend","1","E"
"2621",2015-12-13,"Sunday",14,"THEFT MISD. (UNDER $950)","1700","BERKELEY WAY",NA,37.871884,-122.27763,"weekend","2","W"
"2622",2016-03-20,"Sunday",12,"VEHICLE STOLEN","2500","LE CONTE AVE",NA,37.876965,-122.260544,"weekend","4","E"
